wnid,synset,gloss,safety
n10272782,loser,a gambler who loses a bet,offensive
n10539160,rosebud,(a literary reference to) a pretty young girl,offensive
n10441037,"playmate, playfellow",a companion at play,offensive
n09859285,blade,"a dashing young man; ""gay young blades bragged of their amorous adventures""",offensive
n10337488,"mugwump, independent, fencesitter",a neutral or uncommitted person (especially in politics),offensive
n10342543,"mutterer, mumbler, murmurer",a person who speaks softly and indistinctly,offensive
n10223606,John Doe,an unknown or fictitious man who is a party to legal proceedings,offensive
n10420649,"petter, fondler","a lover who gently fondles and caresses the loved one; ""they are heavy petters""",offensive
n09610405,"commoner, common man, common person",a person who holds no title,offensive
n10531445,ringer,a contestant entered in a competition under false pretenses,offensive
n10609092,slasher,someone who slashes another person,offensive
n10375402,old man,an informal term for your father,offensive
n10262343,"light-o'-love, light-of-love",a woman inconstant in love,offensive
n09902731,"caveman, cave man, cave dweller, troglodyte",someone who lives in a cave,offensive
n09791816,"anarchist, nihilist, syndicalist",an advocate of anarchism,offensive
n10138472,"good old boy, good ole boy, good ol' boy",a white male Southerner with an unpretentious convivial manner and conservative or intolerant attitudes and a strong sense of fellowship with and loyalty to other members of his peer group,offensive
n10610850,sleeper,a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal,offensive
n10344121,naif,a naive or inexperienced person,offensive
n10717196,"tosser, jerk-off, wanker",terms of abuse for a masturbator,offensive
n10108832,Francophobe,a person who hates France and everything French,offensive
n10778999,"white hope, great white hope","someone (or something) expected to achieve great success in a given field; ""this company is the great white hope of the nuclear industry's waste management policy""",offensive
n10502950,"racist, racialist",a person with a prejudiced belief that one race is superior to others,offensive
n10683675,"swinger, tramp",a person who engages freely in promiscuous sex,offensive
n10585628,shaheed,Arabic term for holy martyrs; applied by Palestinians to suicide bombers,offensive
n10439523,platitudinarian,a bore who makes excessive use of platitudes,offensive
n10557246,"schlockmeister, shlockmeister",(slang) a merchant who deals in shoddy or inferior merchandise,offensive
n10621294,"soda jerk, soda jerker",someone who works at a soda fountain,offensive
n09859975,blind date,a participant in a blind date (someone you meet for the first time when you have a date with them),offensive
n10131815,gladiator,(ancient Rome) a professional combatant or a captive who entertained the public by engaging in mortal combat,offensive
n10555059,scandalmonger,a person who spreads malicious gossip,offensive
n09617435,ex-gambler,a former gambler,offensive
n10395209,"palmist, palmister, chiromancer",fortuneteller who predicts your future by the lines on your palms,offensive
n09879552,bully,a hired thug,offensive
n10473789,princeling,a petty or insignificant prince who rules some unimportant principality,offensive
n10435251,"pip-squeak, squirt, small fry",someone who is small and insignificant,offensive
n10406391,patriarch,any of the early biblical characters regarded as fathers of the human race,offensive
n10181878,homegirl,a fellow female member of a youth gang,offensive
n10174971,"high-muck-a-muck, pooh-bah",an arrogant or conceited person of importance,offensive
n09781504,alarmist,a person who alarms others needlessly,offensive
n10395390,"pamperer, spoiler, coddler, mollycoddler",someone who pampers or spoils by excessive indulgence,offensive
n10710778,tight end,(football) an offensive end who lines up close to the tackle,offensive
n10411356,"pedant, bookworm, scholastic",a person who pays more attention to formal rules and book learning than they merit,offensive
n09847344,beggarwoman,a woman who is a beggar,offensive
n10358124,"night rider, nightrider",member of a secret mounted band in United States South after the American Civil War; committed acts of intimidation and revenge,offensive
n10611267,sleeping beauty,a person who is sleeping soundly,offensive
n10357737,"niggard, skinflint, scrooge, churl",a selfish person who is unwilling to give or spend,offensive
n10306496,megalomaniac,a pathological egotist,offensive
n10753442,villager,one who has lived in a village most of their life,offensive
n10784113,"wise guy, smart aleck, wiseacre, wisenheimer, weisenheimer","an upstart who makes conceited, sardonic, insolent comments",offensive
n09873348,brawler,a fighter (especially one who participates in brawls),offensive
n10497534,quadriplegic,a person who is paralyzed in both arms and both legs,offensive
n09883807,"busybody, nosy-parker, nosey-parker, quidnunc",a person who meddles in the affairs of others,offensive
n10472447,"primordial dwarf, hypoplastic dwarf, true dwarf, normal dwarf",an achondroplastic dwarf whose small size is the result of a genetic defect; body parts and mental and sexual development are normal,offensive
n10437014,"placeman, placeseeker",a disparaging term for an appointee,offensive
n10754281,"violator, debaucher, ravisher",someone who assaults others sexually,offensive
n10121246,"garroter, garrotter, strangler, throttler, choker",someone who kills by strangling,offensive
n10190516,"huckster, cheap-jack",a seller of shoddy goods,offensive
n09899671,"casualty, injured party",someone injured or killed in an accident,offensive
n09996039,dropout,someone who withdraws from a social group or environment,offensive
n09895561,caregiver,a person who is responsible for attending to the needs of a child or dependent adult,offensive
n09993651,day boarder,a schoolchild at a boarding school who has meals at school but sleeps at home,offensive
n10382480,ordinary,a clergyman appointed to prepare condemned prisoners for death,offensive
n10737264,undesirable,"one whose presence is undesirable; ""rounding up vagrants and drunks and other undesirables""",offensive
n10758337,"vixen, harpy, hellcat",a malicious woman with a fierce temper,offensive
n10556704,schizophrenic,someone who is afflicted with schizophrenia,offensive
n10306279,"medium, spiritualist, sensitive","someone who serves as an intermediary between the living and the dead; ""he consulted several mediums""",offensive
n10752480,"victim, dupe",a person who is tricked or swindled,offensive
n09783884,"aliterate, aliterate person",a person who can read but is disinclined to derive information from literary sources,offensive
n10169241,heir presumptive,a person who expects to inherit but whose right can be defeated by the birth of a nearer relative,offensive
n10614507,smirker,a smiler whose smile is offensively self-satisfied,offensive
n10114550,fucker,someone who engages in sexual intercourse,offensive
n10684827,"sycophant, toady, crawler, lackey, ass-kisser",a person who tries to please someone in order to gain a personal advantage,offensive
n10554846,scalper,"someone who buys something and resells it at a price far above the initial cost; ""he got theater tickets through a scalper""",offensive
n09866661,"booster, shoplifter, lifter",a thief who steals goods that are in a store,offensive
n10272913,"loser, also-ran",a contestant who loses the contest,offensive
n09976283,"crazy, loony, looney, nutcase, weirdo",someone deranged and possibly dangerous,offensive
n10735298,"tyrant, autocrat, despot",a cruel and oppressive dictator,offensive
n10076957,falsifier,someone who falsifies,offensive
n10037080,drunk,someone who is intoxicated,offensive
n09763272,acid head,someone who takes LSD,offensive
n10028402,down-and-out,"a person who is destitute; ""he tried to help the down-and-out""",offensive
n10276942,bedlamite,an archaic term for a lunatic,offensive
n10113869,frotteur,someone who masturbates by rubbing against another person (as in a crowd),offensive
n09756961,abomination,a person who is loathsome or disgusting,offensive
n10609198,"slattern, slut, slovenly woman, trollop",a dirty untidy woman,offensive
n10594147,"shrew, termagant",a scolding nagging bad-tempered woman,offensive
n10299700,"masturbator, onanist",a person who practices masturbation,offensive
n10801802,yakuza,a Japanese gangster,offensive
n10617024,"snob, prig, snot, snoot",a person regarded as arrogant and annoying,offensive
n10744078,uxoricide,a husband who murders his wife,offensive
n09629065,religionist,a person addicted to religion or a religious zealot,offensive
n10442232,"plodder, slowpoke, stick-in-the-mud, slowcoach","someone who moves slowly; ""in England they call a slowpoke a slowcoach""",offensive
n10495555,"pusher, drug peddler, peddler, drug dealer, drug trafficker",an unlicensed dealer in illegal drugs,offensive
n10062716,erotic,an erotic person,offensive
n10350774,"nebbish, nebbech",(Yiddish) a timid unfortunate simpleton,offensive
n10646942,"stamper, stomper, tramper, trampler",someone who walks with a heavy noisy gait or who stamps on the ground,offensive
n10765885,Wandering Jew,a legendary Jew condemned to roam the world for mocking Jesus at the Crucifixion,offensive
n09754633,abnegator,one who gives up or relinquishes or renounces something,offensive
n10110893,freeloader,someone who takes advantage of the generosity of others,offensive
n10332110,moss-trooper,a marauder and plunderer (originally operating in the bogs between England and Scotland),offensive
n10507380,rape suspect,someone who is suspected of committing rape,offensive
n09945319,"communist, commie",a socialist who advocates communism,offensive
n10331098,morosoph,a learned fool,offensive
n10397142,paperhanger,someone who passes bad checks or counterfeit paper money,offensive
n10010864,devourer,someone who eats greedily or voraciously,offensive
n09797742,"anti-Semite, Jew-baiter",someone who hates and would persecute Jews,offensive
n09834258,"ball-buster, ball-breaker",a demanding woman who destroys men's confidence,offensive
n10513938,"redneck, cracker",a poor White person in the southern United States,offensive
n10349243,"obstructionist, obstructor, obstructer, resister, thwarter",someone who systematically obstructs some action that others want to take,offensive
n10167565,"heckler, badgerer",someone who tries to embarrass you with gibes and questions and objections,offensive
n10654211,stentor,a speaker with an unusually loud voice,offensive
n09847267,beggarman,a man who is a beggar,offensive
n10022908,"dodo, fogy, fogey, fossil",someone whose style is out of fashion,offensive
n10630093,spastic,a person suffering from spastic paralysis,offensive
n09889065,call girl,a female prostitute who can be hired by telephone,offensive
n10361525,"nonperson, unperson","a person regarded as nonexistent and having no rights; a person whose existence is systematically ignored (especially for ideological or political reasons); ""the former senator is treated as a nonperson by this administration""; ""George Orwell predicted that political dissidents would be treated as unpersons""",offensive
n10079893,fascist,an adherent of fascism or other right-wing authoritarian views,offensive
n10769459,"wastrel, waster",someone who dissipates resources self-indulgently,offensive
n10496393,putz,(Yiddish) a fool; an idiot,offensive
n10098710,"foe, enemy","a personal enemy; ""they had been political foes for years""",offensive
n10741152,upstart,an arrogant or presumptuous person,offensive
n10063919,espionage agent,someone employed to spy on another country or business competitor,offensive
n10114476,fucker,a stupid despised man,offensive
n10039271,duffer,"an incompetent or clumsy person; ""as a golfer he was only a duffer""",offensive
n10275848,Luddite,any opponent of technological progress,offensive
n10615334,"smuggler, runner, contrabandist, moon curser, moon-curser",someone who imports or exports without paying duties,offensive
n10531838,ringleader,a person who leads (especially in illicit activities),offensive
n10581648,spree killer,a serial killer whose murders occur within a brief period of time,offensive
n10055847,"enemy, foe, foeman, opposition","an armed adversary (especially a member of an opposing military force); ""a soldier must be prepared to kill his enemies""",offensive
n10333439,"mother's boy, mamma's boy, mama's boy",a boy excessively attached to his mother; lacking normal masculine interests,offensive
n10766260,wanton,lewd or lascivious woman,offensive
n10748506,"vermin, varmint",an irritating or obnoxious person,offensive
n10602119,sirrah,formerly a contemptuous term of address to an inferior man or boy; often used in anger,offensive
n10286539,"malingerer, skulker, shammer",someone shirking their duty by feigning illness or incapacity,offensive
n09846586,"bedwetter, bed wetter, wetter",someone suffering from enuresis; someone who urinates while asleep in bed,offensive
n09632274,unskilled person,a person who lacks technical training,offensive
n10148305,"grouch, grump, crank, churl, crosspatch",a bad-tempered person,offensive
n10723230,traitress,female traitor,offensive
n10239928,knocker,(Yiddish) a big shot who knows it and acts that way; a boastful immoderate person,offensive
n10433737,"pimp, procurer, panderer, pander, pandar, fancy man, ponce",someone who procures customers for whores (in England they call a pimp a ponce),offensive
n10007809,"designer, intriguer","a person who devises plots or intrigues; ""he is believed to be the principal designer of the terrorist bombing attack""",offensive
n10074735,extremist,a person who holds extreme views,offensive
n10097477,"flop, dud, washout",someone who is unsuccessful,offensive
n10047199,"egocentric, egoist",a self-centered person with little regard for others,offensive
n09970192,"counterspy, mole",a spy who works against enemy espionage,offensive
n10401331,parrot,a copycat who does not understand the words or acts being imitated,offensive
n10048117,ejaculator,a man who ejaculates semen,offensive
n10502046,quitter,a person who gives up too easily,offensive
n10561320,"scoffer, flouter, mocker, jeerer",someone who jeers or mocks or treats something with contempt or calls out in derision,offensive
n10673296,sugar daddy,a wealthy older man who gives a young person expensive gifts in return for friendship or intimacy,offensive
n10173579,heroin addict,someone addicted to heroin,offensive
n10419047,"pervert, deviant, deviate, degenerate",a person whose behavior deviates from what is acceptable especially in sexual behavior,offensive
n10433610,"Piltdown man, Piltdown hoax",a supposedly primitive man later proven to be a hoax,offensive
n10433077,pill head,a consumer of amphetamine pills,offensive
n10274318,"loudmouth, blusterer",a person who causes trouble by speaking indiscreetly,offensive
n10122531,gawker,a spectator who stares stupidly without intelligent awareness,offensive
n09761068,"accomplice, confederate",a person who joins with another in carrying out some plan (especially an unethical or illegal plan),offensive
n10070711,"exhibitionist, show-off",someone who deliberately behaves in such a way as to attract attention,offensive
n10495756,"pusher, thruster",one who intrudes or pushes himself forward,offensive
n10274173,Lothario,a successful womanizer; a man who behaves selfishly in his sexual relationships with women,offensive
n10717337,totalitarian,an adherent of totalitarian principles or totalitarian government,offensive
n10646641,stalking-horse,a candidate put forward to divide the Opposition or to mask the true candidate,offensive
n10781236,"wiggler, wriggler, squirmer","one who can't stay still (especially a child); ""the toddler was a real wiggler on plane trips""",offensive
n10027590,"double-crosser, double-dealer, two-timer, betrayer, traitor",a person who says one thing and does another,offensive
n10118301,galoot,a disreputable or clumsy man,offensive
n09899782,casualty,someone injured or killed or captured or missing in a military engagement,offensive
n10290541,maniac,a person who has an obsession with or excessive enthusiasm for something,offensive
n10085101,fence,a dealer in stolen property,offensive
n10359422,nitpicker,someone who makes small and unjustified criticisms,offensive
n10062996,"escapist, dreamer, wishful thinker",a person who escapes into a world of fantasy,offensive
n10094782,"flak catcher, flak, flack catcher, flack",a slick spokesperson who can turn any criticism to the advantage of their employer,offensive
n09912431,"male chauvinist, sexist",a man with a chauvinistic belief in the inferiority of women,offensive
n10762212,waffler,someone who speaks or writes in a vague and evasive manner,offensive
n10792335,"worshiper, worshipper",someone who admires too much to recognize faults,offensive
n11242849,"Popper, Karl Popper, Sir Karl Raimund Popper","British philosopher (born in Austria) who argued that scientific theories can never be proved to be true, but are tested by attempts to falsify them (1902-1994)",offensive
n10488309,psychic,a person apparently sensitive to things beyond the natural range of perception,offensive
n10371330,office boy,a young man who is employed to do odd jobs in a business office,offensive
n10419785,Peter Pan,a boyish or immature man; after the boy in Barrie's play who never grows up,offensive
n09610255,color-blind person,a person unable to distinguish differences in hue,offensive
n10140051,gouger,an attacker who gouges out the antagonist's eye,offensive
n10213429,introvert,(psychology) a person who tends to shrink from social contacts and to become preoccupied with their own thoughts,offensive
n10339251,murder suspect,someone suspected of committing murder,offensive
n10507070,"ranter, raver",someone who rants and raves; speaks in a violent or loud manner,offensive
n09780984,airhead,"a flighty scatterbrained simpleton; ""she's a total airhead""; ""every airhead on a big salary rushed out to buy one""",offensive
n10205344,infernal,"an inhabitant of Hell; ""his roar made the infernals quake""",offensive
n10744164,"vacationer, vacationist",someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work,offensive
n10377185,oligarch,one of the rulers in an oligarchy,offensive
n09802641,appropriator,someone who takes for his or her own use (especially without permission),offensive
n10432875,pill,a unpleasant or tiresome person,offensive
n10109662,"free agent, free spirit, freewheeler",someone acting freely or even irresponsibly,offensive
n09866922,"bootlegger, moonshiner",someone who makes or sells illegal liquor,offensive
n09885059,buttinsky,a meddler who tends to butt in,offensive
n10522324,"reprobate, miscreant",a person without moral scruples,offensive
n10042690,eavesdropper,a secret listener to private conversations,offensive
n09833997,"balker, baulker, noncompliant",a person who refuses to comply,offensive
n09903936,censor,someone who censures or condemns,offensive
n10248377,Jehovah's Witness,believer in imminent approach of the millennium; practitioner of active evangelism,offensive
n10096126,"flibbertigibbet, foolish woman",a female fool,offensive
n10204833,infanticide,a person who murders an infant,offensive
n09643799,"gook, slant-eye",(slang) a disparaging term for an Asian person (especially for North Vietnamese soldiers in the Vietnam War),offensive
n10598904,"addle-head, addlehead, loon, birdbrain",a person with confused ideas; incapable of serious thought,offensive
n10781817,"wimp, chicken, crybaby","a person who lacks confidence, is irresolute and wishy-washy",offensive
n10315730,miles gloriosus,a braggart soldier (a stock figure in comedy),offensive
n09853541,Big Brother,an authoritarian leader and invader of privacy,offensive
n09934774,coiffeur,a man hairdresser,offensive
n09928845,"clever Dick, clever clogs",an intellectual who is ostentatiously and irritatingly knowledgeable,offensive
n10353016,"neonate, newborn, newborn infant, newborn baby",a baby from birth to four weeks,offensive
n10077879,"fanatic, fiend","a person motivated by irrational enthusiasm (as for a cause); ""A fanatic is one who can't change his mind and won't change the subject""--Winston Churchill",offensive
n09895222,careerist,a professional who is intent on furthering his or her career by any possible means and often at the expense of their own integrity,offensive
n10538853,roper,a decoy who lures customers into a gambling establishment (especially one with a fixed game),offensive
n09832456,baggage,a worthless or immoral woman,offensive
n10556825,"schlemiel, shlemiel",(Yiddish) a dolt who is a habitual bungler,offensive
n10612210,"slob, sloven, pig, slovenly person",a coarse obnoxious person,offensive
n09772930,"adulteress, fornicatress, hussy, jade, loose woman, slut, strumpet, trollop",a woman adulterer,offensive
n10666752,"stumblebum, palooka",a second-rate prize afighter,offensive
n10323752,"mistress, kept woman, fancy woman",an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man,offensive
n10267166,"litterer, litterbug, litter lout",a person who litters public places with refuse,offensive
n09999135,"defamer, maligner, slanderer, vilifier, libeler, backbiter, traducer",one who attacks the reputation of another by slander or libel,offensive
n09858299,"blackmailer, extortioner, extortionist",a criminal who extorts money from someone by threatening to expose embarrassing information about them,offensive
n10555430,"scapegrace, black sheep",a reckless and unprincipled reprobate,offensive
n10732521,trusty,a convict who is considered trustworthy and granted special privileges,offensive
n09918554,"child, baby","an immature childish person; ""he remained a child in practical matters as long as he lived""; ""stop being a baby!""",offensive
n09755241,absconder,a fugitive who runs away and hides to avoid arrest or prosecution,offensive
n10343449,myrmidon,a follower who carries out orders without question,offensive
n10556518,"schemer, plotter",a planner who draws up a personal scheme of action,offensive
n10350220,"Nazi, German Nazi",a German member of Adolf Hitler's political party,offensive
n09778783,"agitator, fomenter",one who agitates; a political troublemaker,offensive
n10569179,"second-rater, mediocrity","a person of second-rate ability or value; ""a team of aging second-raters""; ""shone among the mediocrities who surrounded him""",offensive
n10779610,white supremacist,a person who believes that the white race is or should be supreme,offensive
n10802621,yardie,"member of an international gang of Jamaican criminals who sell drugs and violence; ""A much publicized raid on a yardie stronghold had first been simulated at Riot City""",offensive
n10162016,"hatchet man, iceman",a professional killer,offensive
n10684630,"swot, grind, nerd, wonk, dweeb",an insignificant student who is ridiculed as being affected or boringly studious,offensive
n10344319,namby-pamby,an insipid weakling who is foolishly sentimental,offensive
n10245341,"landlubber, lubber, landsman",an inexperienced sailor; a sailor on the first voyage,offensive
n10080117,fascista,an Italian fascist under Mussolini,offensive
n09994878,deadeye,a dead shot,offensive
n09864968,"bondman, bondsman",a male bound to serve without wages,offensive
n10205714,infiltrator,an intruder (as troops) with hostile intent,offensive
n10635788,sphinx,an inscrutable person who keeps his thoughts and intentions secret,offensive
n10047459,"egotist, egoist, swellhead",a conceited and self-centered person,offensive
n09842823,"bastard, by-blow, love child, illegitimate child, illegitimate, whoreson",the illegitimate offspring of unmarried parents,offensive
n09931165,"clown, buffoon",a rude or vulgar fool,offensive
n10656223,"stifler, smotherer","a person who stifles or smothers or suppresses; ""he is a real conversation stifler""; ""I see from all the yawn smotherers that it is time to stop""",offensive
n10026976,"dosser, street person",someone who sleeps in any convenient place,offensive
n09683180,Jihadist,a Muslim who is involved in a jihad,offensive
n09912681,"cheapskate, tightwad",a miserly person,offensive
n09798096,aphakic,someone afflicted by aphakia; someone lacking the natural lenses of the eyes,offensive
n10563711,scratcher,a person who scratches to relieve an itch,offensive
n10691937,"Tartuffe, Tartufe",a hypocrite who pretends to religious piety (after the protagonist in a play by Moliere),offensive
n10540656,roundhead,a brachycephalic person,offensive
n10482921,propagandist,a person who disseminates messages calculated to assist some cause or some government,offensive
n09976917,"creep, weirdo, weirdie, weirdy, spook",someone unpleasantly strange or eccentric,offensive
n09953615,Confederate,a supporter of the Confederate States of America,offensive
n10437262,"plagiarist, plagiarizer, plagiariser, literary pirate, pirate",someone who uses another person's words or ideas as if they were his own,offensive
n09493983,Circe,(Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine,offensive
n09865068,"bondwoman, bondswoman, bondmaid",a female slave,offensive
n10104064,boss,"a person who exercises control and makes decisions; ""he is his own boss now""",offensive
n10763075,"waif, street child","a homeless child especially one forsaken or orphaned; ""street children beg or steal in order to survive""",offensive
n10702615,"terror, scourge, threat","a person who inspires fear or dread; ""he was the terror of the neighborhood""",offensive
n10023506,dog in the manger,someone who prevents you from enjoying something that they themselves have no need for,offensive
n10456070,poseuse,a woman poseur,offensive
n10763245,wailer,a mourner who utters long loud high-pitched cries,offensive
n10182190,"homeless, homeless person","someone unfortunate without housing; ""a homeless was found murdered in Central Park""",offensive
n10174253,highbinder,a corrupt politician,offensive
n10034614,drinker,a person who drinks liquids,offensive
n09894909,"cardsharp, card sharp, cardsharper, card sharper, sharper, sharpie, sharpy, card shark",a professional card player who makes a living by cheating at card games,offensive
n10025295,"don, father",the head of an organized crime family,offensive
n10206173,"informer, betrayer, rat, squealer, blabber",one who reveals confidential information in return for money,offensive
n10675142,sundowner,a tramp who habitually arrives at sundown,offensive
n10492727,punching bag,"a person on whom another person vents their anger; ""he resigned because his boss used him as a punching bag""",offensive
n10695450,tearaway,a reckless and impetuous person,offensive
n10169419,"hellion, heller, devil","a rowdy or mischievous person (usually a young man); ""he chased the young hellions out of his yard""",offensive
n10166394,"heathen, pagan, gentile, infidel",a person who does not acknowledge your god,offensive
n10588074,sheep,a timid defenseless simpleton who is readily preyed upon,offensive
n10779995,"whoremaster, whoremonger, john, trick",a prostitute's customer,offensive
n10176913,"hireling, pensionary",a person who works only for money,offensive
n10244108,lame duck,an elected official still in office but not slated to continue,offensive
n09968652,"cotter, cottier",a medieval English villein,offensive
n10361060,nondescript,a person is not easily classified and not very interesting,offensive
n10210137,"insurgent, insurrectionist, freedom fighter, rebel",a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions),offensive
n09868782,bottom feeder,an opportunist who profits from the misfortunes of others,offensive
n09919899,choker,"an unfortunate person who is unable to perform effectively because of nervous tension or agitation; ""he could win if he wasn't a choker""",offensive
n10341955,"mutilator, maimer, mangler",a person who mutilates or destroys or disfigures or cripples,offensive
n10114662,fuddy-duddy,"a conservative who is old-fashioned or dull in attitude or appearance; ""you may accuse me of being and old fuddy-duddy trying to stop young people having fun""",offensive
n10561736,scofflaw,one who habitually ignores the law and does not answer court summonses,offensive
n09961469,control freak,someone with a compulsive desire to exert control over situations and people,offensive
n10505942,"rake, rakehell, profligate, rip, blood, roue",a dissolute man in fashionable society,offensive
n10037385,"drunkard, drunk, rummy, sot, inebriate, wino",a chronic drinker,offensive
n10297367,masochist,someone who obtains pleasure from receiving punishment,offensive
n10740732,upstager,a selfish actor who upstages the other actors,offensive
n10506336,ramrod,a harshly demanding overseer,offensive
n09633969,"wrongdoer, offender",a person who transgresses moral or civil law,offensive
n10789415,"wonder boy, golden boy",a man who is unusually successful at an early age,offensive
n10803282,yenta,(Yiddish) a woman who talks too much; a gossip unable to keep a secret; a woman who spreads rumors and scandal,offensive
n10036266,"drug user, substance abuser, user",a person who takes drugs,offensive
n10742546,"usurper, supplanter",one who wrongfully or illegally seizes and holds the place of another,offensive
n10034201,"drinker, imbiber, toper, juicer",a person who drinks alcoholic beverages (especially to excess),offensive
n10222170,jezebel,a shameless impudent scheming woman,offensive
n09782167,"alcoholic, alky, dipsomaniac, boozer, lush, soaker, souse",a person who drinks alcohol to excess habitually,offensive
n10741367,urchin,poor and often mischievous city child,offensive
n09831962,bad person,a person who does harm to others,offensive
n10280598,magdalen,a reformed prostitute,offensive
n10237799,kleptomaniac,someone with an irrational urge to steal in the absence of an economic motive,offensive
n10544748,"saboteur, wrecker, diversionist",someone who commits sabotage or deliberately causes wrecks,offensive
n10103228,foreign agent,a spy for a foreign country,offensive
n10418735,"perspirer, sweater",a person who perspires,offensive
n10626630,sorehead,someone who is peevish or disgruntled,offensive
n10663315,"streetwalker, street girl, hooker, hustler, floozy, floozie, slattern",a prostitute who attracts customers by walking the streets,offensive
n10576316,"segregator, segregationist",someone who believes the races should be kept apart,offensive
n09612700,contrarian,an investor who deliberately decides to go against the prevailing wisdom of other investors,offensive
n10055730,endomorph,a heavy person with a soft and rounded body,offensive
n10519126,"anchorite, hermit",one retired from society for religious reasons,offensive
n10704238,test-tube baby,a baby conceived by fertilization that occurs outside the mother's body; the woman's ova are removed and mixed with sperm in a culture medium - if fertilization occurs the blastocyte is implanted in the woman's uterus,offensive
n09896826,"carper, niggler",someone who constantly criticizes in a petty way,offensive
n10370381,occultist,a believer in occultism; someone versed in the occult arts,offensive
n09988703,"dallier, dillydallier, dilly-dallier, mope, lounger",someone who wastes time,offensive
n09769076,"addict, nut, freak, junkie, junky","someone who is so ardently devoted to something that it resembles an addiction; ""a golf addict""; ""a car nut""; ""a bodybuilding freak""; ""a news junkie""",offensive
n10718509,"tout, ticket tout",someone who buys tickets to an event in order to resell them at a profit,offensive
n10673776,suicide bomber,a terrorist who blows himself up in order to kill or injure other people,offensive
n10451858,"polluter, defiler",a person or organization that causes pollution of the environment,offensive
n10671042,"substitute, reserve, second-stringer",an athlete who plays only when a starter on the team is replaced,offensive
n10390698,padrone,an employer who exploits Italian immigrants in the U.S.,offensive
n10180923,"holdup man, stickup man",an armed thief,offensive
n10495421,"pusher, shover",someone who pushes,offensive
n10748620,"very important person, VIP, high-up, dignitary, panjandrum, high muckamuck",an important or influential (and often overbearing) person,offensive
n09797998,ape-man,a person assumed to have been raised by apes,offensive
n10617193,"snoop, snooper",a spy who makes uninvited inquiries into the private affairs of others,offensive
