wnid,synset,gloss,imageability score
n09834699,ballet dancer,a trained dancer who is a member of a ballet company,5
n10467395,"President of the United States, United States President, President, Chief Executive","the person who holds the office of head of state of the United States government; ""the President likes to jog every morning""",5
n10142747,"grandma, grandmother, granny, grannie, gran, nan, nanna",the mother of your father or mother,5
n10788852,woman,"a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man; ""he was faithful to his woman""",5
n10260800,"lifeguard, lifesaver",an attendant employed at a beach or pool to protect swimmers from accidents,5
n10701644,"tennis pro, professional tennis player",someone who earns a living playing or teaching tennis,5
n10377021,old woman,a woman who is old,5
n10145590,great grandmother,a mother of your grandparent,5
n10536416,rock star,a famous singer of rock music,4.857142857
n09892693,"captain, senior pilot",the pilot in charge of an airship,4.857142857
n10181445,homeboy,a male friend from your neighborhood or hometown,4.833333333
n10375314,old lady,"your own wife; ""meet my old lady""",4.833333333
n10559288,"schoolchild, school-age child, pupil",a young person attending school (up through senior high school),4.833333333
n10513823,"redhead, redheader, red-header, carrottop",someone who has red hair,4.833333333
n10267865,little sister,a younger sister,4.8
n10582604,server,(court games) the player who serves to start a point,4.8
n10610465,"sleeper, slumberer",a rester who is sleeping,4.8
n10376523,"oldster, old person, senior citizen, golden ager",an elderly person,4.8
n09618957,face,"a part of a person that is used to refer to a person; ""he looked out at a roomful of faces""; ""when he returned to work he met many new faces""",4.8
n10101634,"football player, footballer",an athlete who plays American football,4.8
n09927089,cleaner,someone whose occupation is cleaning,4.8
n10763620,waitress,a woman waiter,4.8
n09636339,"Black, Black person, blackamoor, Negro, Negroid",a person with dark skin who comes from Africa (or whose ancestors came from Africa),4.8
n10084295,"female child, girl, little girl","a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle""",4.8
n10560106,"schoolmate, classmate, schoolfellow, class fellow",an acquaintance that you go to school with,4.8
n10519494,religious leader,leader of a religious order,4.8
n10188715,housekeeper,a servant who is employed to perform domestic task in a household,4.8
n10655594,"steward, flight attendant",an attendant on an airplane,4.8
n10582746,"serviceman, military man, man, military personnel","someone who serves in the armed forces; a member of a military force; ""two men stood sentry duty""",4.8
n10229883,keyboardist,a musician who plays a keyboard instrument,4.8
n10474064,princess,a female member of a royal family other than the queen (especially the daughter of a sovereign),4.8
n10015792,dirty old man,a middle-aged man with lecherous inclinations,4.714285714
n09896685,carpenter,a woodworker who makes or repairs wooden objects,4.666666667
n10366966,nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician),4.666666667
n10153594,gymnast,an athlete who is skilled in gymnastics,4.625
n10238375,knight,originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit,4.625
n10473453,prince charming,a suitor who fulfills the dreams of his beloved,4.6
n10048367,elder,any of various church officers,4.6
n10625860,"sorcerer, magician, wizard, necromancer, thaumaturge, thaumaturgist",one who practices magic or sorcery,4.6
n10500217,queen,"something personified as a woman who is considered the best or most important of her kind; ""Paris is the queen of cities""; ""the queen of ocean liners""",4.6
n10721321,traffic cop,a policeman who controls the flow of automobile traffic,4.6
n10735173,typist,someone paid to operate a typewriter,4.6
n09618880,ex-president,a former president,4.6
n09763784,"acquaintance, friend","a person with whom you are acquainted; ""I have trouble remembering the names of all my acquaintances""; ""we are friends of the family""",4.6
n10224578,journalist,a writer for newspapers and magazines,4.6
n09846755,"beekeeper, apiarist, apiculturist",a farmer who keeps bees for their honey,4.6
n10769084,"washerman, laundryman",operates industrial washing machine,4.6
n10091651,"fireman, firefighter, fire fighter, fire-eater",a member of a fire department who tries to extinguish fires,4.6
n10622053,soldier,"an enlisted man or woman who serves in an army; ""the soldiers stood at attention""",4.6
n10185793,"horseman, equestrian, horseback rider",a man skilled in equitation,4.6
n10701180,tennis player,an athlete who plays tennis,4.6
n10638922,"sport, sportsman, sportswoman",someone who engages in sports,4.6
n09871681,Boy Scout,a boy who is a member of the Boy Scouts,4.6
n10735984,"umpire, ump",an official at a baseball game,4.6
n10564098,"screen actor, movie actor",an actor who plays a role in a film,4.6
n10499355,"queen, queen regnant, female monarch",a female sovereign ruler,4.6
n10393909,painter,a worker who is employed to cover objects with paint,4.6
n10521662,"reporter, newsman, newsperson",a person who investigates and reports or edits news stories,4.6
n09841515,"baseball coach, baseball manager",a coach of baseball players,4.6
n10648696,"star, principal, lead",an actor who plays a principal role,4.6
n10602470,Sister,"(Roman Catholic Church) a title given to a nun (and used as a form of address); ""the Sisters taught her to love God""",4.6
n09913455,cheerleader,someone who leads the cheers by spectators at a sporting event,4.571428571
n10080869,"father, male parent, begetter","a male parent (also used as a term of address to your father); ""his father was born in Atlanta""",4.571428571
n10348526,"Navy SEAL, SEAL","a member of a Naval Special Warfare unit who is trained for unconventional warfare; ""SEAL is an acronym for Sea Air and Land""",4.571428571
n09835506,"ballplayer, baseball player",an athlete who plays baseball,4.571428571
n10763383,"waiter, server",a person whose occupation is to serve at table (as in a restaurant),4.571428571
n09893191,captain,an officer holding a rank below a major but above a lieutenant,4.571428571
n09932508,"coal miner, collier, pitman",someone who works in a coal mine,4.555555556
n09940818,comedienne,a female comedian,4.555555556
n09928451,clerk,"an employee who performs clerical work (e.g., keeps records or accounts)",4.5
n10112129,"monk, monastic",a male religious living in a cloister and devoting himself to contemplation and prayer and work,4.5
n10101308,football hero,a football player who has achieved a reputation for success,4.5
n10605253,skier,someone who skis,4.5
n09903153,"celebrity, famous person","a widely known person; ""he was a baseball celebrity""",4.5
n09917593,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling","a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngster""",4.428571429
n10674713,sumo wrestler,"a wrestler who participates in sumo (a Japanese form of wrestling); ""sumo wrestlers are large heavy men""",4.428571429
n10542888,runner,a trained athlete who competes in foot races,4.428571429
n09820263,"athlete, jock",a person trained to compete in sports,4.428571429
n10333838,"motorcycle cop, motorcycle policeman, speed cop",a policeman who rides a motorcycle (and who checks the speeds of motorists),4.428571429
n10782791,winner,a gambler who wins a bet,4.4
n10316862,military leader,a leader of military forces,4.4
n10123844,"general, full general",a general officer of the highest rank,4.4
n10324560,"model, poser","a person who poses for a photographer or painter or sculptor; ""the president didn't have time to be a model so the artist worked from photos""",4.4
n10396337,panhandler,a beggar who approaches strangers asking for money,4.4
n10088200,"film director, director",the person who directs the making of a film,4.4
n09915651,chess master,a chess player of great skill,4.4
n10164233,"headmaster, schoolmaster, master",presiding officer of a school,4.4
n10530383,riding master,someone who teaches horsemanship,4.4
n10396908,paperboy,a boy who sells or delivers newspapers,4.4
n10505732,"raja, rajah",a prince or king in India,4.4
n09906704,"champion, champ, title-holder",someone who has won first place in a competition,4.4
n10421470,"pharmacist, druggist, chemist, apothecary, pill pusher, pill roller",a health professional trained in the art of preparing and dispensing drugs,4.4
n10223177,jockey,someone employed to ride horses in horse races,4.4
n10085869,"fiance, groom-to-be",a man who is engaged to be married,4.4
n09875979,broadcast journalist,a journalist who broadcasts on radio or television,4.4
n10642596,square dancer,someone who does square dancing,4.4
n10634849,"speedskater, speed skater",an ice-skater who races competitively; usually around an oval course,4.4
n10043643,"economist, economic expert",an expert in the science of economics,4.4
n09858165,black belt,a person who attained the rank of expert in the martial arts (judo or karate),4.4
n09825750,"automobile mechanic, auto-mechanic, car-mechanic, mechanic, grease monkey",someone whose occupation is repairing and maintaining automobiles,4.4
n10136959,"golfer, golf player, linksman",someone who plays the game of golf,4.4
n10298912,"master, captain, sea captain, skipper",an officer who is licensed to command a merchant ship,4.4
n10317500,"military policeman, MP",a member of the military police who polices soldiers and guards prisoners,4.4
n10618342,soccer player,an athlete who plays soccer,4.4
n09856671,birth,"a baby born; an offspring; ""the overall rate of incidence of Down's syndrome is one in every 800 births""",4.4
n10467179,president,the chief executive of a republic,4.4
n10237464,kitchen help,help hired to work in the kitchen,4.4
n10665698,"student, pupil, educatee",a learner who is enrolled in an educational institution,4.4
n10512708,recruiter,someone who supplies members or employees,4.4
n09701148,English person,a native or inhabitant of England,4.4
n10305802,"medical practitioner, medical man",someone who practices medicine,4.375
n10386754,outdoorswoman,"a woman who spends time outdoors (e.g., hunting and fishing)",4.333333333
n10127186,gent,informal abbreviation of `gentleman',4.333333333
n09881358,"busboy, waiter's assistant",a restaurant attendant who sets tables and assists waiters and clears away dirty dishes,4.333333333
n10283170,major,a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain,4.333333333
n09923561,circus acrobat,an acrobat who performs acrobatic feats in a circus,4.333333333
n09818022,"astronaut, spaceman, cosmonaut","a person trained to travel in a spacecraft; ""the Russians called their astronauts cosmonauts""",4.333333333
n09641002,white man,a man who is White,4.333333333
n10679174,"surgeon, operating surgeon, sawbones",a physician who specializes in surgery,4.3
n10078719,farm boy,a boy who has grown up on a farm,4.3
n10358032,night porter,a porter on duty during the night,4.285714286
n10032987,dreamer,someone who is dreaming,4.285714286
n10803978,yogi,one who practices yoga and has achieved a high level of spiritual insight,4.285714286
n10314054,middle-aged man,a man who is roughly between 45 and 65 years old,4.285714286
n09894445,"cardiologist, heart specialist, heart surgeon",a specialist in cardiology; a specialist in the structure and function and disorders of the heart,4.285714286
n10333044,mother figure,a woman who evokes the feelings usually reserved for a mother,4.285714286
n09913593,cheerleader,"an enthusiastic and vocal supporter; ""he has become a cheerleader for therapeutic cloning""",4.285714286
n10332385,"mother, female parent","a woman who has given birth to a child (also used as a term of address to your mother); ""the mother of three children""",4.266666667
n09785891,altar boy,a boy serving as an acolyte,4.25
n10007995,"desk clerk, hotel desk clerk, hotel clerk",a hotel receptionist,4.25
n10507482,rapper,someone who performs rap music,4.230769231
n10433452,pilot,a person qualified to guide ships through difficult waters going into or out of a harbor,4.222222222
n10755080,violist,a musician who plays the viola,4.222222222
n10130877,girlfriend,"any female friend; ""Mary and her girlfriend organized the party""",4.222222222
n10544232,rustic,an unsophisticated country person,4.2
n09877951,"buddy, brother, chum, crony, pal, sidekick",a close friend who accompanies his buddies in their activities,4.2
n10038620,duke,a British peer of the highest rank,4.2
n10082043,father-in-law,the father of your spouse,4.2
n09781398,"air traveler, air traveller",someone who travels by airplane,4.2
n10601362,sipper,a drinker who sips,4.2
n10222497,"jobber, middleman, wholesaler",someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,4.2
n09880189,"bunny, bunny girl",a young waitress in a nightclub whose costume includes the tail and ears of a rabbit,4.2
n09899289,cashier,a person responsible for receiving payments for goods and services (as in a shop or restaurant),4.2
n09792969,"anchor, anchorman, anchorperson",a television reporter who coordinates a broadcast to which several correspondents contribute,4.2
n10542761,runner,someone who travels on foot by running,4.2
n10675609,super heavyweight,an amateur boxer who weighs more than 201 pounds,4.2
n10332953,mother,a term of address for an elderly woman,4.2
n09833536,"baker, bread maker",someone who bakes bread or cake,4.2
n10300154,mate,informal term for a friend of the same sex,4.2
n10470779,priest,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,4.2
n09780828,"air force officer, commander",an officer in the airforce,4.2
n10772092,"weatherman, weather forecaster",predicts the weather,4.2
n10539015,"ropewalker, ropedancer",an acrobat who performs on a rope stretched at some height above the ground,4.2
n10661216,stranger,an individual that one is not acquainted with,4.2
n09537660,"messiah, christ",any expected deliverer,4.2
n10707233,"therapist, healer",a person skilled in a particular type of therapy,4.2
n09885866,"cabinetmaker, furniture maker",a woodworker who specializes in making furniture,4.2
n10098624,flyweight,weighs no more than 115 pounds,4.2
n10579062,senior,an undergraduate student during the year preceding graduation,4.2
n10305635,"medical officer, medic",a medical practitioner in the armed forces,4.2
n10465451,"premature baby, preterm baby, premature infant, preterm infant, preemie, premie",an infant that is born prior to 37 weeks of gestation,4.181818182
n10381804,"orderly, hospital attendant",a male hospital attendant who has general duties that do not involve the medical treatment of patients,4.181818182
n10603851,sitar player,a musician who plays the sitar,4.166666667
n09894143,cardinal,(Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes,4.166666667
n10730542,trooper,a mounted policeman,4.166666667
n10289176,man,"a male subordinate; ""the chief stationed two men outside the building""; ""he awaited word from his man in Havana""",4.166666667
n10345015,nan,your grandmother,4.166666667
n10514429,"referee, ref",(sports) the chief official (as in boxing or American football) who is expected to ensure fair play,4.166666667
n10147935,"groom, bridegroom",a man who has recently been married,4.166666667
n10151760,"guitarist, guitar player",a musician who plays the guitar,4.166666667
n10304914,"medalist, medallist, medal winner",(golf) the winner at medal play of a tournament,4.166666667
n09923186,cigar smoker,a smoker of cigars,4.166666667
n09988493,"Dalai Lama, Grand Lama",chief lama and once ruler of Tibet,4.142857143
n10149867,"prison guard, jailer, jailor, gaoler, screw, turnkey",someone who guards prisoners,4.142857143
n10001217,"deliveryman, delivery boy, deliverer",someone employed to make deliveries,4.142857143
n09923673,citizen,a native or naturalized member of a state or other political community,4.125
n10469874,press photographer,a photographer who works for a newspaper,4.125
n10150071,guard,a person who keeps watch over something or someone,4.125
n10341343,music teacher,someone who teaches music,4.125
n10259997,lieutenant commander,a commissioned officer in the Navy ranking above a lieutenant and below a commander,4.125
n10120671,gardener,someone employed to work in a garden,4.111111111
n10473917,Prince of Wales,the male heir apparent of the British sovereign,4.1
n09827363,"baby, babe, sister",(slang) sometimes used as a term of address for attractive young women,4.1
n09722658,Mexican,a native or inhabitant of Mexico,4.1
n09781650,albino,a person with congenital albinism: white hair and milky skin; eyes are usually pink,4.1
n10780632,"wife, married woman",a married woman; a man's partner in marriage,4.090909091
n09990415,"dancer, social dancer",a person who participates in a social gathering arranged for dancing (as a ball),4.076923077
n10732010,"trumpeter, cornetist",a musician who plays the trumpet or cornet,4
n09971273,countrywoman,a woman who lives in the country and has country ways,4
n10333601,mother's daughter,a daughter who is favored by and similar to her mother,4
n09821831,"attendant, attender, tender",someone who waits on or tends to or attends to the needs of another,4
n10147710,grocer,a retail merchant who sells foodstuffs (and some household supplies),4
n09924313,"city slicker, city boy",a city dweller with sophisticated manners and clothing,4
n09871867,boy scout,a man who is considered naive,4
n10041887,"earner, wage earner",someone who earn wages in return for their labor,4
n10186216,"horse wrangler, wrangler",a cowboy who takes care of the saddle horses,4
n10806113,zoo keeper,the chief person responsible for a zoological garden,4
n10421016,"Pharaoh, Pharaoh of Egypt",the title of the ancient Egyptian kings,4
n09990777,"dancing-master, dance master",a professional teacher of dancing,4
n09861946,"boatman, boater, waterman",someone who drives or rides in a boat,4
n10628644,"sovereign, crowned head, monarch",a nation's ruler or head of state usually by hereditary right,4
n10791115,working girl,a young woman who is employed,4
n10306004,medical scientist,a scientist who studies disease processes,4
n09867311,border patrolman,someone who patrols the borders of a country,4
n10665587,"stud, he-man, macho-man",a man who is virile and sexually active,4
n10243273,lady-in-waiting,a lady appointed to attend to a queen or princess,4
n09953052,conductor,the person who collects fares on a public conveyance,4
n10164492,head nurse,the person in charge of nursing in a medical institution,4
n10253296,legal representative,a personal representative with legal standing (as by power of attorney or the executor of a will),4
n10382710,organ-grinder,a street musician who plays a hand organ or hurdy-gurdy,4
n10562135,"scorekeeper, scorer",an official who records the score during the progress of a game,4
n10599806,"singer, vocalist, vocalizer, vocaliser",a person who sings,4
n10120330,"garbage man, garbageman, garbage collector, garbage carter, garbage hauler, refuse collector, dustman",someone employed to collect and dispose of refuse,4
n09917214,chief of staff,the senior officer of a service of the armed forces,4
n10340312,"musician, instrumentalist, player",someone who plays a musical instrument (as a profession),4
n09876701,Brother,"(Roman Catholic Church) a title given to a monk and used as form of address; ""a Benedictine Brother""",4
n10509063,reading teacher,someone who teaches students to read,4
n09945745,commuter,someone who travels regularly from home in a suburb to work in a city,4
n10722575,trainer,one who trains other persons or animals,4
n10097995,flower girl,a woman who sells flowers in the street,4
n10347446,naval commander,naval officer in command of a fleet of warships,4
n10263411,lineman,one of the players on the line of scrimmage,4
n10538733,roper,a cowboy who uses a lasso to rope cattle or horses,4
n09622049,"juvenile, juvenile person","a young person, not fully developed",4
n10474645,"principal, school principal, head teacher, head","the educator who has executive authority for a school; ""she sent unruly pupils to see the principal""",4
n10491998,pudge,a short fat person,4
n10276045,"lumberman, lumberjack, logger, feller, faller",a person who fells trees,4
n10386984,outfielder,(baseball) a person who plays in the outfield,4
n09904208,centenarian,someone who is at least 100 years old,4
n09931640,"coach, manager, handler",(sports) someone in charge of training an athlete or a team,4
n10036929,drummer,someone who plays a drum,3.923076923
n10453184,pool player,someone who shoots pool,3.916666667
n10267311,little brother,"a younger brother; ""my little brother just had his 50th birthday""",3.909090909
n10117851,gal,alliterative term for girl (or woman),3.909090909
n09981092,crown prince,a male heir apparent to a throne,3.909090909
n10604380,skateboarder,someone who skates on a skateboard,3.9
n09895480,career man,a man who is a careerist,3.888888889
n10516527,"registered nurse, RN",a graduate nurse who has passed examinations for registration,3.888888889
n09886403,"caddie, golf caddie",an attendant who carries the golf clubs for a player,3.888888889
n10084043,female offspring,a child who is female,3.888888889
n09996481,deaf person,a person with a severe auditory impairment,3.888888889
n09889941,camper,someone living temporarily in a tent or lodge for recreation,3.888888889
n09635534,Black African,an African who is Black,3.888888889
n10457214,poster girl,a female poster child,3.875
n10435169,pipe smoker,a smoker who uses a pipe,3.875
n10221312,"jester, fool, motley fool",a professional clown employed to entertain a king or nobleman in the Middle Ages,3.875
n09616922,entertainer,a person who tries to please or amuse,3.875
n10498816,"quarterback, signal caller, field general",(football) the person who plays quarterback,3.875
n09809749,army officer,"an officer in the armed forces; ""he's a retired army officer""",3.875
n09986450,cymbalist,a performer on the cymbals,3.857142857
n10002760,"demonstrator, protester",someone who participates in a public display of group feeling,3.857142857
n10081842,father-figure,a man (often a powerful or influential man) who arouses emotions usually felt for your real father and with whom you identify psychologically,3.857142857
n09893344,"captain, chieftain","the leader of a group of people; ""a captain of industry""",3.857142857
n10009276,"detective, investigator, tec, police detective",a police officer who investigates crimes,3.857142857
n10481268,"programmer, computer programmer, coder, software engineer",a person who designs and writes and tests computer programs,3.857142857
n10631309,Speaker,"the presiding officer of a deliberative assembly; ""the leader of the majority party is the Speaker of the House of Representatives""",3.857142857
n10772937,weeder,a farmhand hired to remove weeds,3.846153846
n10578471,senator,a member of a senate,3.846153846
n09805151,archbishop,a bishop of highest rank,3.846153846
n10750031,vicar,a Roman Catholic priest who acts for another higher-ranking clergyman,3.846153846
n10159289,"handyman, jack of all trades, odd-job man",a man skilled in various odd jobs and other small tasks,3.833333333
n09903501,"cellist, violoncellist",someone who plays a violoncello,3.833333333
n10131151,girl wonder,an extremely talented young female person,3.833333333
n10698368,"television reporter, television newscaster, TV reporter, TV newsman",someone who reports news stories via television,3.833333333
n10063635,"Eskimo, Esquimau, Inuit",a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people'),3.833333333
n10187491,hostess,a woman host,3.833333333
n10382825,organist,a person who plays an organ,3.833333333
n10738111,unicyclist,a person who rides a unicycle,3.833333333
n09940725,comedian,an actor in a comedy,3.833333333
n10521100,"repairman, maintenance man, service man",a skilled worker whose job is to repair things,3.833333333
n10159045,"animal trainer, handler",one who trains or exhibits animals,3.8125
n10315561,miler,a runner in a one-mile race,3.8
n10098517,flyweight,an amateur boxer who weighs no more than 112 pounds,3.8
n09629752,"traveler, traveller",a person who changes location,3.8
n10167361,heavy,an actor who plays villainous roles,3.8
n10644598,"staff member, staffer",an employee who is a member of a staff of workers (especially a member of the staff that works for the President of the United States),3.8
n10147262,grinner,a person who grins,3.8
n09916348,"chief executive officer, CEO, chief operating officer",the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president),3.8
n10579549,senior vice president,the ranking vice president in a firm that has more than one,3.8
n10415037,percussionist,a musician who plays percussion instruments,3.8
n10791221,"workman, workingman, working man, working person",an employee who performs manual or industrial labor,3.8
n10041373,earl,a British peer ranking below a marquess and above a viscount,3.8
n10019406,"diver, plunger",someone who dives (into water),3.8
n10384496,orphan,someone or something who lacks support or care or supervision,3.8
n09951616,"concert-goer, music lover",someone who attends concerts,3.8
n09919061,"chimneysweeper, chimneysweep, sweep",someone who cleans soot from chimneys,3.8
n10682713,sweeper,an employee who sweeps (floors or streets etc.),3.8
n10616578,sneezer,a person who sneezes,3.8
n10550252,sandwichman,a person with advertising boards hanging from the shoulders,3.8
n10033888,dribbler,a basketball player who is dribbling the ball to advance it,3.8
n09894654,card player,someone who plays (or knows how to play) card games,3.8
n10249950,"lawyer, attorney",a professional person authorized to practice law; conducts lawsuits or gives legal advice,3.8
n10091349,"fire chief, fire marshal",the head of a fire department,3.8
n10082687,featherweight,a professional boxer who weighs between 123 and 126 pounds,3.8
n10632576,"specialist, medical specialist",practices one branch of medicine,3.8
n10140929,"graduate nurse, trained nurse",someone who has completed the course of study (including hospital practice) at a nurses training school,3.8
n10081204,"Father, Padre",`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military,3.8
n10510974,receiver,the tennis player who receives the serve,3.8
n10529231,"rich person, wealthy person, have",a person who possesses great material wealth,3.8
n10097842,flower girl,a young girl who carries flowers in a (wedding) procession,3.8
n09854218,big sister,an older sister,3.8
n09989502,"dancer, professional dancer, terpsichorean",a performer who dances professionally,3.785714286
n10570019,secretary,a person who is head of an administrative department of government,3.785714286
n10078806,"farmer, husbandman, granger, sodbuster",a person who operates a farm,3.785714286
n09638875,"White, White person, Caucasian",a member of the Caucasoid race,3.785714286
n09943239,commissioned military officer,a commissioned officer in the Army or Air Force or Marine Corps,3.777777778
n10493685,puppeteer,one who operates puppets or marionettes,3.777777778
n10548419,"salesgirl, saleswoman, saleslady",a woman salesperson,3.777777778
n09505153,spiritual leader,a leader in religious or sacred affairs,3.777777778
n09765278,"actor, histrion, player, thespian, role player",a theatrical performer,3.777777778
n10146416,Green Beret,a soldier who is a member of the United States Army Special Forces,3.777777778
n09834378,"ball carrier, runner",(football) the player who is carrying (and trying to advance) the ball on an offensive play,3.777777778
n10533874,"roadman, road mender",a workman who is employed to repair roads,3.777777778
n10193650,huntress,a woman hunter,3.777777778
n10262655,lightweight,an amateur boxer who weighs no more than 132 pounds,3.774193548
n09866559,bookworm,someone who spends a great deal of time reading,3.769230769
n09764598,aerialist,an acrobat who performs in the air (as on a rope or trapeze),3.769230769
n10548681,"salesperson, sales representative, sales rep",a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited),3.769230769
n10627252,soul mate,someone for whom you have a deep affinity,3.75
n09988311,dairyman,a man who works in a dairy,3.75
n09727440,Filipino,a native or inhabitant of the Philippines,3.75
n09981939,Cub Scout,a junior Boy Scout,3.75
n10345100,"nanny, nursemaid, nurse",a woman who is the custodian of children,3.75
n10377291,Olympian,an athlete who participates in the Olympic games,3.75
n10374943,old-age pensioner,an old person who receives an old-age pension,3.75
n10778044,whiteface,a clown whose face is covered with white make-up,3.75
n10427764,"physical therapist, physiotherapist",therapist who treats injury or dysfunction with exercises and other physical treatments of the disorder,3.733333333
n10312491,meter maid,policewoman who is assigned to write parking tickets,3.733333333
n10386874,outfielder,a fielder in cricket who is stationed in the outfield,3.727272727
n10704712,"Texas Ranger, Ranger",a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier,3.727272727
n10654827,stepmother,the wife of your father by a subsequent marriage,3.722222222
n10252222,"lector, lecturer, reader",a public lecturer at certain universities,3.714285714
n10321340,"minor leaguer, bush leaguer",a player on a minor-league baseball team,3.714285714
n10508710,reader,a person who enjoys reading,3.714285714
n09869447,bounty hunter,someone who pursues fugitives or criminals for whom a reward is offered,3.714285714
n10347204,nautch girl,a professional dancing girl in India,3.714285714
n10091861,fire marshall,an official who is responsible for the prevention and investigation of fires,3.714285714
n10282672,"maid, maidservant, housemaid, amah",a female domestic,3.7
n10730728,"trooper, state trooper",a state police officer,3.7
n10690648,"tanker, tank driver",a soldier who drives a tank,3.7
n10237556,"kitchen police, KP",an enlisted person who is assigned to assist the cooks,3.692307692
n10247358,"lass, lassie, young girl, jeune fille",a girl or young woman who is unmarried,3.692307692
n10331841,"mortician, undertaker, funeral undertaker, funeral director",one whose business is the management of funerals,3.6875
n10629329,spacewalker,an astronaut who is active outside a spacecraft in outer space,3.6875
n09981278,crown princess,the wife of a crown prince,3.666666667
n10186686,hospital chaplain,a chaplain in a hospital,3.666666667
n10590239,shipowner,someone who owns a ship or a share in a ship,3.666666667
n09836519,matador,the principal bullfighter who is appointed to make the final passes and kill the bull,3.666666667
n10291469,man-at-arms,a heavily armed and mounted soldier in medieval times,3.666666667
n10015485,director,member of a board of directors,3.666666667
n10145774,great grandparent,a parent of your grandparent,3.666666667
n10297531,"mason, stonemason",a craftsman who works with stone or brick,3.666666667
n10546633,"sailor, crewman",any member of a ship's crew,3.666666667
n10502329,rabbi,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law,3.666666667
n09972458,"cover girl, pin-up, lovely",a very pretty girl who works as a photographer's model,3.666666667
n10471640,prima ballerina,a leading female ballet dancer,3.666666667
n09924437,"civic leader, civil leader",a leader in municipal affairs,3.666666667
n10699981,term infant,infant born at a gestational age between 37 and 42 completed weeks,3.666666667
n09723067,"Mexican-American, Mexicano",a Mexican (or person of Mexican descent) living in the United States,3.65
n10629647,"Spanish American, Hispanic American, Hispanic",an American whose first language is Spanish,3.647058824
n10092643,"firstborn, eldest",the offspring who came first in the order of birth,3.636363636
n10290919,manicurist,a beautician who cleans and trims and polishes the fingernails,3.625
